phrase,idx,mal_mean,ben_mean,mal_count,ben_count,ratio,discriminative_score
business or science and technology,49,0.016743157806499164,0.0,435,0,16.743157806499163,0.2803333333333339
is this piece of news,128,0.016743157806499164,0.0,435,0,16.743157806499163,0.2803333333333339
is this piece of news regarding,129,0.016743157806499164,0.0,435,0,16.743157806499163,0.2803333333333339
is this piece of news regarding world,130,0.016743157806499164,0.0,435,0,16.743157806499163,0.2803333333333339
news regarding world politics sports,151,0.016743157806499164,0.0,435,0,16.743157806499163,0.2803333333333339
news regarding world politics sports business,152,0.016743157806499164,0.0,435,0,16.743157806499163,0.2803333333333339
news regarding world politics sports business or,153,0.016743157806499164,0.0,435,0,16.743157806499163,0.2803333333333339
of news regarding world politics,171,0.016743157806499164,0.0,435,0,16.743157806499163,0.2803333333333339
of news regarding world politics sports,172,0.016743157806499164,0.0,435,0,16.743157806499163,0.2803333333333339
of news regarding world politics sports business,173,0.016743157806499164,0.0,435,0,16.743157806499163,0.2803333333333339
piece of news regarding world,201,0.016743157806499164,0.0,435,0,16.743157806499163,0.2803333333333339
piece of news regarding world politics,202,0.016743157806499164,0.0,435,0,16.743157806499163,0.2803333333333339
piece of news regarding world politics sports,203,0.016743157806499164,0.0,435,0,16.743157806499163,0.2803333333333339
politics sports business or science,210,0.016743157806499164,0.0,435,0,16.743157806499163,0.2803333333333339
politics sports business or science and,211,0.016743157806499164,0.0,435,0,16.743157806499163,0.2803333333333339
politics sports business or science and technology,212,0.016743157806499164,0.0,435,0,16.743157806499163,0.2803333333333339
regarding world politics sports business,229,0.016743157806499164,0.0,435,0,16.743157806499163,0.2803333333333339
regarding world politics sports business or,230,0.016743157806499164,0.0,435,0,16.743157806499163,0.2803333333333339
regarding world politics sports business or science,231,0.016743157806499164,0.0,435,0,16.743157806499163,0.2803333333333339
sports business or science and,247,0.016743157806499164,0.0,435,0,16.743157806499163,0.2803333333333339
sports business or science and technology,248,0.016743157806499164,0.0,435,0,16.743157806499163,0.2803333333333339
this piece of news regarding,292,0.016743157806499164,0.0,435,0,16.743157806499163,0.2803333333333339
this piece of news regarding world,293,0.016743157806499164,0.0,435,0,16.743157806499163,0.2803333333333339
this piece of news regarding world politics,294,0.016743157806499164,0.0,435,0,16.743157806499163,0.2803333333333339
world politics sports business or,355,0.016743157806499164,0.0,435,0,16.743157806499163,0.2803333333333339
world politics sports business or science,356,0.016743157806499164,0.0,435,0,16.743157806499163,0.2803333333333339
world politics sports business or science and,357,0.016743157806499164,0.0,435,0,16.743157806499163,0.2803333333333339
best describes this news article,48,0.011186003158709847,0.0,137,0,11.186003158709847,0.12512666666666666
label best describes this news,142,0.011186003158709847,0.0,137,0,11.186003158709847,0.12512666666666666
label best describes this news article,143,0.011186003158709847,0.0,137,0,11.186003158709847,0.12512666666666666
what label best describes this,341,0.011186003158709847,0.0,137,0,11.186003158709847,0.12512666666666666
what label best describes this news,342,0.011186003158709847,0.0,137,0,11.186003158709847,0.12512666666666666
what label best describes this news article,343,0.011186003158709847,0.0,137,0,11.186003158709847,0.12512666666666666
an athlete business executive or,10,0.007544043517411096,0.0,196,0,7.544043517411096,0.056912592592592376
an athlete business executive or scientist,11,0.007544043517411096,0.0,196,0,7.544043517411096,0.056912592592592376
article to politician an athlete,31,0.007544043517411096,0.0,196,0,7.544043517411096,0.056912592592592376
article to politician an athlete business,32,0.007544043517411096,0.0,196,0,7.544043517411096,0.056912592592592376
article to politician an athlete business executive,33,0.007544043517411096,0.0,196,0,7.544043517411096,0.056912592592592376
athlete business executive or scientist,44,0.007544043517411096,0.0,196,0,7.544043517411096,0.056912592592592376
following article to politician an,100,0.007544043517411096,0.0,196,0,7.544043517411096,0.056912592592592376
following article to politician an athlete,101,0.007544043517411096,0.0,196,0,7.544043517411096,0.056912592592592376
following article to politician an athlete business,102,0.007544043517411096,0.0,196,0,7.544043517411096,0.056912592592592376
politician an athlete business executive,207,0.007544043517411096,0.0,196,0,7.544043517411096,0.056912592592592376
politician an athlete business executive or,208,0.007544043517411096,0.0,196,0,7.544043517411096,0.056912592592592376
politician an athlete business executive or scientist,209,0.007544043517411096,0.0,196,0,7.544043517411096,0.056912592592592376
recommend the following article to,226,0.007544043517411096,0.0,196,0,7.544043517411096,0.056912592592592376
recommend the following article to politician,227,0.007544043517411096,0.0,196,0,7.544043517411096,0.056912592592592376
recommend the following article to politician an,228,0.007544043517411096,0.0,196,0,7.544043517411096,0.056912592592592376
the following article to politician,277,0.007544043517411096,0.0,196,0,7.544043517411096,0.056912592592592376
the following article to politician an,278,0.007544043517411096,0.0,196,0,7.544043517411096,0.056912592592592376
